25

0	6469	7629	20036	4690	6194	11688	2243	8857	7248	3559	9221	10099	22866	3388	9986	46618	11639	1380	5261	5985	6731	2704	12250	16132
6469	0	12999	13692	3322	5576	3878	3202	6699	4198	2454	7975	1186	7443	1162	5105	24817	6532	806	8184	3896	7333	3719	2015	565
7629	12999	0	35135	5956	14121	5951	5768	16578	4242	3365	22254	1841	23665	6517	3541	205088	37669	2885	13200	7116	17165	4284	8085	51895
20036	13692	35135	0	19094	35119	21423	27342	51341	15826	28537	65387	12980	44097	51525	14354	172895	37305	15418	26221	42303	35303	13618	17580	40708
4690	3322	5956	19094	0	7284	3102	1562	7180	1917	2253	5951	1890	7097	2009	1340	25303	6031	1041	4128	5452	3344	1067	4608	7050
6194	5576	14121	35119	7284	0	5023	3512	10419	3543	2752	14412	2043	15642	5014	2016	62034	15385	2957	5035	7482	6758	2191	6599	14181
11688	3878	5951	21423	3102	5023	0	11557	6479	34261	10134	27350	6929	7961	4678	13511	29801	7549	5550	3089	9958	14110	4911	2722	10802
2243	3202	5768	27342	1562	3512	11557	0	5615	7095	10753	30362	1783	3437	8897	2509	23273	5160	8750	2583	7288	17481	7930	1278	8447
8857	6699	16578	51341	7180	10419	6479	5615	0	4448	5076	22463	4783	24609	9969	4224	79945	20001	4291	10604	11925	13091	4172	12891	19500
7248	4198	4242	15826	1917	3543	34261	7095	4448	0	4370	17267	3929	8602	2753	20013	28080	5971	2131	3579	6809	8455	2868	2336	5616
3559	2454	3365	28537	2253	2752	10134	10753	5076	4370	0	15287	3083	4092	7701	2809	17291	4462	3239	2309	16003	8381	3033	1755	7266
9221	7975	22254	65387	5951	14412	27350	30362	22463	17267	15287	0	5454	15011	17714	10037	105507	20040	31780	10822	16450	92083	32908	3865	24583
10099	1186	1841	12980	1890	2043	6929	1783	4783	3929	3083	5454	0	3251	1126	5926	10653	3062	759	1255	6173	2974	1056	1504	4588
22866	7443	23665	44097	7097	15642	7961	3437	24609	8602	4092	15011	3251	0	5550	9473	169397	25073	1170	14272	8543	8064	1840	20618	20937
3388	1162	6517	51525	2009	5014	4678	8897	9969	2753	7701	17714	1126	5550	0	2152	26816	6931	4947	2676	8033	12692	6157	3065	12044
9986	5105	3541	14354	1340	2016	13511	2509	4224	20013	2809	10037	5926	9473	2152	0	21806	4519	886	1742	4782	6453	2022	3546	5065
46618	24817	205088	172895	25303	62034	29801	23273	79945	28080	17291	105507	10653	169397	26816	21806	0	9040	11139	63153	34092	70935	14957	28398	166694
11639	6532	37669	37305	6031	15385	7549	5160	20001	5971	4462	20040	3062	25073	6931	4519	9040	0	2802	30224	7982	14964	4589	6227	12359
1380	806	2885	15418	1041	2957	5550	8750	4291	2131	3239	31780	759	1170	4947	886	11139	2802	0	1869	3716	11510	3519	569	3520
5261	8184	13200	26221	4128	5035	3089	2583	10604	3579	2309	10822	1255	14272	2676	1742	63153	30224	1869	0	5020	6610	2139	5431	13541
5985	3896	7116	42303	5452	7482	9958	7288	11925	6809	16003	16450	6173	8543	8033	4782	34092	7982	3716	5020	0	9942	3276	3820	11799
6731	7333	17165	35303	3344	6758	14110	17481	13091	8455	8381	92083	2974	8064	12692	6453	70935	14964	11510	6610	9942	0	35285	2566	19926
2704	3719	4284	13618	1067	2191	4911	7930	4172	2868	3033	32908	1056	1840	6157	2022	14957	4589	3519	2139	3276	35285	0	940	4951
12250	2015	8085	17580	4608	6599	2722	1278	12891	2336	1755	3865	1504	20618	3065	3546	28398	6227	569	5431	3820	2566	940	0	6237
16132	565	51895	40708	7050	14181	10802	8447	19500	5616	7266	24583	4588	20937	12044	5065	166694	12359	3520	13541	11799	19926	4951	6237	0

0	5769631	9464954	5975972	3738127	5597673	7090215	12083280	6036477	6952080	6807090	19365720	3324644	5925679	9087715	4261877	7561987	6725906	15902240	5273008	4834673	21409780	21844020	4081648	5407388
5769631	0	3695327	6130386	4291079	3128831	11964890	15021400	4058975	12419610	9603459	23180760	7865959	9495669	9387461	9995005	1792426	962744	19995840	2107656	7363755	24562630	23395090	8441663	364947
9464954	3695327	0	8583308	7496018	5560706	15412730	17647910	6213306	16031650	12509620	26000780	11373350	12668510	11247780	13682670	1903157	2743105	22994290	4942224	10434840	27034020	25038280	11885490	4057886
5975972	6130386	8583308	0	2550303	3113071	7901213	9074331	2370703	9322173	4063386	17418730	4855564	11868580	3458738	8303635	7204687	6753437	14471040	4038657	2558823	18536170	17331320	10057610	5920278
3738127	4291079	7496018	2550303	0	2258954	7941726	10803740	2389440	8795647	5331560	18895280	4023291	9473188	5985410	7004368	5783286	5123965	15707250	2556551	3073289	20361280	19672560	7752390	3992253
5597673	3128831	5560706	3113071	2258954	0	10096890	12168680	942588	11045740	6949153	20471220	6271150	10845000	6261548	9223181	4093542	3656853	17434320	1046478	4911125	21648550	20273190	9331960	2988486
7090215	11964890	15412730	7901213	7941726	10096890	0	6638762	9827378	2214220	4478044	12497630	4111133	10976080	8518228	4237053	13628740	12889660	8950908	10492660	5376206	14938430	16866750	9122104	11616760
12083280	15021400	17647910	9074331	10803740	12168680	6638762	0	11437910	8745181	5516299	8416240	8800728	17146510	6940088	10665630	16258700	15748220	5934216	13015110	7809512	9558020	10245660	15191740	14754790
6036477	4058975	6213306	2370703	2389440	942588	9827378	11437910	0	10949060	6369045	19789430	6204880	11518680	5350244	9362502	4895645	4532583	16824890	1989058	4502585	20868450	19363040	9923379	3929045
6952080	12419610	16031650	9322173	8795647	11045740	2214220	8745181	10949060	0	6422092	13756350	4774590	9637202	10461190	3053132	14170720	13376480	10173320	11250410	6770608	16496190	18911660	7952136	12057470
6807090	9603459	12509620	4063386	5331560	6949153	4478044	5516299	6369045	6422092	0	13582130	3785906	12361920	4050906	6744790	10967120	10386450	10485390	7681641	2294867	15064510	15037940	10386240	9317148
19365720	23180760	26000780	17418730	18895280	20471220	12497630	8416240	19789430	13756350	13582130	0	16080820	23358160	15305700	16617780	24533520	23967940	3583762	21255120	15823690	3615388	9868149	21575170	22887480
3324644	7865959	11373350	4855564	4023291	6271150	4111133	8800728	6204880	4774590	3785906	16080820	0	8582510	7008213	3482725	9556191	8799795	12655730	6511179	2549977	18085200	18726960	6605173	7514614
5925679	9495669	12668510	11868580	9473188	10845000	10976080	17146510	11518680	9637202	12361920	23358160	8582510	0	15007740	6757505	10982820	10216110	19776130	10151650	10655990	25914470	27257900	1978015	9232229
9087715	9387461	11247780	3458738	5985410	6261548	8518228	6940088	5350244	10461190	4050906	15305700	7008213	15007740	0	10397700	10183990	9878645	12807370	7283743	4503982	15898350	14013210	13112100	9223145
4261877	9995005	13682670	8303635	7004368	9223181	4237053	10665630	9362502	3053132	6744790	16617780	3482725	6757505	10397700	0	11784390	10956570	13040430	9185615	6019917	19165780	20900890	4964224	9630435
7561987	1792426	1903157	7204687	5783286	4093542	13628740	16258700	4895645	14170720	10967120	24533520	9556191	10982820	10183990	11784390	0	843365	21435650	3287515	8805469	25740820	24154890	10082000	2155610
6725906	962744	2743105	6753437	5123965	3656853	12889660	15748220	4532583	13376480	10386450	23967940	8799795	10216110	9878645	10956570	843365	0	20823160	2734106	8181228	25265620	23886890	9266267	1327684
15902240	19995840	22994290	14471040	15707250	17434320	8950908	5934216	16824890	10173320	10485390	3583762	12655730	19776130	12807370	13040430	21435650	20823160	0	18148300	12641930	6616543	11293270	18000980	19686890
5273008	2107656	4942224	4038657	2556551	1046478	10492660	13015110	1989058	11250410	7681641	21255120	6511179	10151650	7283743	9185615	3287515	2734106	18148300	0	5524229	22532110	21288280	8752542	1945945
4834673	7363755	10434840	2558823	3073289	4911125	5376206	7809512	4502585	6770608	2294867	15823690	2549977	10655990	4503982	6019917	8805469	8181228	12641930	5524229	0	17359370	17121360	8716396	7065024
21409780	24562630	27034020	18536170	20361280	21648550	14938430	9558020	20868450	16496190	15064510	3615388	18085200	25914470	15898350	19165780	25740820	25265620	6616543	22532110	17359370	0	6949363	24048390	24302690
21844020	23395090	25038280	17331320	19672560	20273190	16866750	10245660	19363040	18911660	15037940	9868149	18726960	27257900	14013210	20900890	24154890	23886890	11293270	21288280	17121360	6949363	0	25284790	23218730
4081648	8441663	11885490	10057610	7752390	9331960	9122104	15191740	9923379	7952136	10386240	21575170	6605173	1978015	13112100	4964224	10082000	9266267	18000980	8752542	8716396	24048390	25284790	0	8135513
5407388	364947	4057886	5920278	3992253	2988486	11616760	14754790	3929045	12057470	9317148	22887480	7514614	9232229	9223145	9630435	2155610	1327684	19686890	1945945	7065024	24302690	23218730	8135513	0
